record_id,student_id,enrollment_date,academic_standing,current_gpa,credit_hours_attempted,credit_hours_earned,major_code,advisor_id,financial_aid_amount,last_login_date,total_course_views,assignment_submissions,discussion_posts,avg_assignment_score,course_completion_rate,plagiarism_incidents,writing_quality_score,engagement_score,at_risk_flag,intervention_count,last_updated
1,STU001,2023-08-15,Good Standing,3.45,45,42,ENGR,ADV101,15000.00,2024-01-07 14:23:11,1247,38,67,85.3,0.93,0,78,82,FALSE,0,2024-01-08 09:15:22
2,STU002,2023-08-15,Dean's List,3.89,48,48,BUSN,ADV102,12000.00,2024-01-08 08:45:33,1876,45,89,92.1,1.00,0,89,95,FALSE,0,2024-01-08 09:15:22
3,STU003,2022-08-20,Probation,2.15,78,65,PSYC,ADV103,18500.00,2023-12-20 10:12:45,342,18,12,64.7,0.83,1,58,35,TRUE,3,2024-01-08 09:15:22
4,STU004,2023-08-15,Good Standing,3.21,42,39,NURS,ADV104,20000.00,2024-01-07 19:34:22,1523,41,78,81.5,0.93,0,75,79,FALSE,1,2024-01-08 09:15:22
5,STU005,2021-08-18,Good Standing,3.67,115,108,COMP,ADV105,8000.00,2024-01-08 07:23:11,2134,87,134,88.9,0.94,0,85,91,FALSE,0,2024-01-08 09:15:22
6,STU006,2023-08-15,At Risk,2.45,36,30,BIOL,ADV101,22000.00,2023-12-15 16:22:11,198,15,8,68.3,0.83,0,62,42,TRUE,4,2024-01-08 09:15:22
7,STU007,2022-08-20,Good Standing,3.52,82,79,ENGR,ADV106,14000.00,2024-01-07 21:45:09,1654,76,92,86.7,0.96,0,82,87,FALSE,0,2024-01-08 09:15:22
8,STU008,2023-08-15,Dean's List,3.91,45,45,MATH,ADV102,10000.00,2024-01-08 06:12:34,1989,48,103,93.4,1.00,0,91,96,FALSE,0,2024-01-08 09:15:22
9,STU009,2022-08-20,Probation,2.08,72,58,HIST,ADV107,19000.00,2023-11-30 14:56:22,289,22,15,62.1,0.81,2,55,38,TRUE,5,2024-01-08 09:15:22
10,STU010,2023-08-15,Good Standing,3.34,39,36,CHEM,ADV103,16000.00,2024-01-07 18:23:45,1423,39,71,83.2,0.92,0,77,81,FALSE,1,2024-01-08 09:15:22
11,STU011,2021-08-18,Dean's List,3.78,118,115,BUSN,ADV108,7500.00,2024-01-08 09:34:11,2267,112,156,89.7,0.97,0,87,93,FALSE,0,2024-01-08 09:15:22
12,STU012,2023-08-15,Good Standing,3.12,42,39,ENGL,ADV104,17000.00,2024-01-06 15:43:22,1134,35,82,79.8,0.93,0,84,76,FALSE,0,2024-01-08 09:15:22
